Analogy pair,Score,Note
hon - han,1,0
hennes - hans,0.8487127423,0
henne - honom,0.7832164764,0
syster - bror,0.7010528445,0
systrar - bröder,0.6444669962,0
storasyster - yngste,0.635302484,0
döttrar - söner,0.6227164268,0
dotter - brorson,0.6146074533,0
farmor - farfar,0.6052650809,0
moster - farbror,0.5958121419,0
mamma - kamrat,0.5891385078,1
flicka - folkmassa,0.5755239129,1
mormor - sonson,0.5619782805,0
lillasyster - broder,0.5512912869,0
talesperson - talesman,0.5460121036,1
prinsessa - hjälte,0.5409018993,1
drottning - konung,0.5328979492,0
kvinnabarn - arkivbild,0.5262858868,?
damer - herrar,0.52538836,0
mor - köpman,0.5249962211,1
kvinna - idrottsman,0.51785326,1
malin - christoffer,0.5098297,0
bröstcancer - hazard,0.5063847899,?
tjej - gentleman,0.5057453513,1
systern - brodern,0.5005347729,0
klitoris - motståndaren,0.4966662824,1
flickor - spelare,0.4953569174,1
kvinnor - män,0.4953111112,0
lesbisk - revolutionär,0.4939326048,1
fästman - kapten,0.4927598834,1
kicki - patric,0.4916453362,0
signe - bernhard,0.4907271862,0
tjejen - killen,0.4903830886,0
flickvän - sheriff,0.4901115298,1
anna - jacob,0.4875521362,0
jungfru - ärkebiskop,0.4873519242,1
josefin - lennartsson,0.4856562614,0
hillevi - erixon,0.4849820137,0
nadja - assisterande,0.4838227034,?
väninnor - landsmän,0.4828490019,1
feminist - socialist,0.4791496098,1
läckberg - svensken,0.4779686928,?
pojkvän - tränare,0.4773128629,1
carina - frick,0.47524786,0
svägerska - svåger,0.4735535979,0
kille - supporter,0.4716927409,1
tjejerna - supportrar,0.4699294567,1
brudgum - marsch,0.4698349833,?
mia - kenny,0.4689620137,0
pappor - kämpande,0.466562748,?
molly - kane,0.4661035836,0
laila - förre,0.4657040834,?
kristin - lagkaptenen,0.4647973776,?
anette - sportchef,0.4632717967,?
anneli - kassör,0.4615102112,?
katterna - jagade,0.4601346254,1
stina - samuel,0.4599913359,0
bambi - wolves,0.4595659375,?
dottern - sonen,0.4592310786,0
maka - statsman,0.4588192105,1
annika - joakim,0.4586648941,0
nathalie - huvudtränare,0.4579005241,?
väninna - medhjälpare,0.4572312236,1
siri - ivan,0.4569664001,0
flickvänner - affärsmän,0.4563384354,1
alicia - lagkapten,0.4559520483,?
såklart - lirare,0.4558514655,?
brud - krigare,0.4542447925,1
husvagnen - lastbil,0.4533028603,1
sångerskan - värvades,0.4532579184,?
systrarna - bröderna,0.4493267834,0
lina - sköld,0.4491859078,?
rebecca - jonathan,0.4490688443,0
hemmafru - mekaniker,0.4489495158,1
jennifer - islanders,0.4481186271,?
katy - rangers,0.4480530024,?
isabelle - victor,0.4479648471,0
snopp - fiende,0.4477895498,1
nina - ralf,0.4464237392,0
ylva - avgående,0.4443632066,?
make - efterträdare,0.4442815483,1
lillemor - bergstrand,0.4413635135,0
pojke - soldat,0.4409945011,1
angelina - everton,0.4408469498,?
sarah - derek,0.4408099353,0
mary - buchanan,0.440204829,0
frida - anton,0.4396053851,0
könsroller - motståndare,0.4394996762,1
oscarsgalan - ligans,0.4388729334,1
kikki - flames,0.4365936518,?
therese - aik:s,0.4363962412,?
cissi - marcus,0.4362356663,0
linnea - brage,0.4359220862,?
linda - patrick,0.4353702068,?
dom - motståndarna,0.4352930784,1
döttrarna - sönerna,0.4347339272,0
tittarna - turneringens,0.4340323806,1
fru - borgmästare,0.4339214563,1
agnes - cornelius,0.4334703684,0
linnéa - hv71,0.4329957962,?
annica - lagledare,0.4324433506,?
katie - darren,0.431960851,0
mammorna - spelarna,0.4316286743,1
tove - dansken,0.4314540625,?
hanna - viktor,0.4307528436,0
kajsa - andreas,0.4306482077,0
tufft - defensiv,0.4300646782,1
älskarinna - adelsman,0.4300094247,1
socialtjänsten - tjänsteman,0.4294898808,1
melodifestivalen - bundesliga,0.4282369614,1
irina - aleksandr,0.4279128313,0
jeanne - alexandre,0.4276831746,0
carola - sportchefen,0.4275655746,?
ulrika - johan,0.4272949696,0
sperma - slav,0.4260934591,1
sofi - vidar,0.4256293178,0
malena - dirigent,0.4254636765,?
margareta - karl,0.4247142971,0
gudrun - riksdagsman,0.4241045415,?
tågen - lokomotiv,0.4230746031,1
kids - mighty,0.4225829244,?
flyktingarna - trupper,0.4225138426,1
morsan - tjuv,0.4219014049,1
koster - sändnings,0.4212211668,?
mamman - fadern,0.4211863577,0
dolly - bobby,0.4203359783,0
lena - franzén,0.4202653766,0
tanten - yngling,0.4201603532,?
jelena - dynamo,0.4200975299,?
patricia - garrett,0.4197952449,0
kate - ferguson,0.4180971086,0
rachel - boyd,0.4175300002,0
häxa - spion,0.4168851376,1
killarna - lagets,0.4167286754,1
sötaste - bäste,0.4166639447,1
mammor - rivaler,0.4166420698,1
mödrar - anhängare,0.4164910913,1
zoe - jordan,0.4159747362,0
nicole - lionel,0.4147754312,0
faster - abraham,0.414707303,?
marie - bertrand,0.4144729972,?
systerdotter - systerson,0.414427489,0
linnet - skjorta,0.4143788218,1
anita - schwarz,0.4138676226,0
pojkvännen - anfallaren,0.4136386216,1
jenny - lundqvist,0.4133074582,0
brickan - klubban,0.4130984545,1
daisy - lightning,0.4130005538,0
barnmorska - kirurg,0.4128780961,1
skärgården - flotta,0.4128004909,?
stenmark - målskytt,0.4127985239,?
