Analogy pair,Score,Note
hon - han,1,0
henne - honom,0.8626738787,0
hennes - hans,0.8487128019,0
systern - brodern,0.7476379871,0
malin - christoffer,0.736012578,0
dottern - sonen,0.7267330885,0
josefin - lennartsson,0.7234023809,0
anna - jakob,0.7175484896,0
tjejen - killen,0.7072482109,0
systrarna - bröderna,0.7056548595,0
syster - bror,0.7010529041,0
therese - andreas,0.700846076,0
nadja - tränaren,0.6994973421,1
hillevi - erixon,0.6985572577,0
storasyster - yngste,0.6845495701,0
läckberg - svensken,0.6844761372,?
rebecca - jonathan,0.6840146184,0
svägerska - svåger,0.6837296486,0
evelina - marcus,0.6826837063,0
johanna - johan,0.6823431253,0
linnea - brage,0.6810421944,?
systerdotter - systerson,0.6735732555,0
christina - jacob,0.6722691059,0
jennifer - kevin,0.6670939326,0
mia - kenny,0.6667789221,0
molly - ferguson,0.6607271433,0
tjejerna - motståndarna,0.6585005522,1
döttrarna - sönerna,0.6578363776,0
camilla - frick,0.6576396227,0
irina - aleksandr,0.6572548151,0
kristin - markus,0.6550397873,0
stina - erik,0.6512479782,0
lena - ulf,0.6499181986,0
nina - ralf,0.6491372585,0
anita - allan,0.6473276019,0
amanda - samuel,0.646355629,0
laila - förre,0.6459009051,?
annika - joakim,0.6451432705,0
alicia - guidetti,0.6449552774,?
systrar - bröder,0.6444669962,0
carina - jörgen,0.6411687136,0
anneli - sportchef,0.6405797005,?
signe - bernhard,0.6402887106,0
katie - darren,0.640045166,0
cissi - henke,0.6388670206,0
lillemor - lindskog,0.6373385191,0
angelina - lionel,0.6365929842,0
marit - dansken,0.6347252727,?
vanessa - derek,0.6334076524,0
nathalie - victor,0.6329697967,0
kicki - patric,0.632881999,0
feminism - kommunism,0.6316444874,1
pamela - kane,0.6308940649,0
oscarsgalan - ligans,0.6308149695,1
katy - detroit,0.6302204132,?
ingrid - holger,0.62816751,0
agnes - cornelius,0.6278283596,0
homofobi - motståndare,0.6277656555,1
amy - mike,0.6273453236,0
jelena - dynamo,0.6264621615,?
rumpan - motståndaren,0.625456214,1
väninna - kamrat,0.6254194975,1
agneta - krister,0.6244891882,0
elisabeth - matthias,0.623867929,0
madeleine - nye,0.6233721375,?
dotter - brorson,0.6229081154,0
döttrar - söner,0.6227164865,0
skådespelerskan - legendariske,0.6225419044,1
sångerskan - sångaren,0.6216943264,0
frida - pontus,0.620256424,0
zoe - jordan,0.6199487448,0
hello - mighty,0.6197481155,?
kate - jeremy,0.619025588,0
natalie - lagkapten,0.6165450215,?
linnéa - bergstrand,0.6162620187,0
svärmor - svärfar,0.6151209474,0
sara - peter,0.61505723,0
tove - norrmannen,0.6150404811,?
katarina - henrik,0.6148613095,0
ylva - sören,0.6104062796,0
heather - dale,0.6096764803,0
linda - dennis,0.6090553999,0
marie - martin,0.6080901623,0
prinsessan - kapten,0.6080892682,1
christine - robert,0.6066299081,0
sofi - franzén,0.6055070162,0
farmor - farfar,0.6052651405,0
avslappnat - taktiskt,0.6052402258,1
josefine - sportchefen,0.6046912074,?
lily - stanley,0.6038972139,0
rachel - boyd,0.6031212807,0
audrey - charlton,0.6027819514,0
forever - wolves,0.6024693251,?
”hon - ”han,0.6018528938,0
erika - svedberg,0.6005139351,0
sarah - ian,0.5997773409,0
marianne - steen,0.5996041298,0
hertiginna - hertig,0.598690629,0
sophie - adam,0.5983294249,0
daniela - jürgen,0.5980159044,0
alexandra - alexander,0.5966720581,0
kaxig - defensiv,0.5964006186,1
sötaste - bäste,0.5963078141,1
pernilla - pär,0.5962969065,0
siri - ivan,0.5959646702,0
emily - john,0.5959250927,0
moster - farbror,0.5958122015,0
karin - anders,0.5957078934,0
julie - richard,0.5942366123,0
fanny - isaac,0.5936428308,0
mamma - äldste,0.5926822424,?
amningen - anfallen,0.5917134881,1
jenny - lundqvist,0.5908794403,0
jessica - patrick,0.5896794796,0
jasmine - emperor,0.5895723701,?
ulrika - fredric,0.5893158317,0
hbtq-personer - supportrar,0.5886446238,1
författarinnan - historikern,0.5883811116,1
gunnel - åke,0.5880973935,0
barbie - fighter,0.5873856544,1
lillasyster - broder,0.5859383345,0
louise - thomas,0.5859060287,0
anne - sir,0.5842528939,?
lilian - daniel,0.5838363171,0
heterosexuella - underordnade,0.5837956667,1
sångerska - gitarrist,0.5837544203,1
birgit - gerhard,0.583738327,0
bella - aston,0.5835860968,0
carola - hamrén,0.5834754705,0
jenner - brock,0.5825112462,0
åsa - stefan,0.5814139843,0
hanna - viktor,0.5812307596,0
kajsa - jesper,0.5810923576,0
gabriella - vidar,0.5810035467,0
susanne - mikael,0.5808634162,0
gunilla - lars,0.5807625055,0
killarna - defensiva,0.5797681808,1
matilda - emanuel,0.5784692764,0
elise - rosenberg,0.5783295035,0
mamman - vakta,0.5780533552,?
flickvännen - anfallaren,0.5766531229,1
barnkläder - begagnade,0.5764887333,0
anette - patrik,0.5764417648,0
frisyr - spelstil,0.5763567686,1
josephine - herbert,0.5761699677,0
pojkvännen - mourinho,0.5759108067,?
magda - julius,0.5755426288,0
anja - lagkaptenen,0.5752150416,0
martina - sebastian,0.5751125813,0
nicole - joe,0.5749839544,0
sommarlov - försäsongen,0.5745639205,1
