Analogy pair,Score,Note
hon - han,0.999999940395355,0
hennes - hans,0.907902598381042,0
henne - honom,0.856050670146942,0
tjej - kille,0.697536945343018,0
syster - bror,0.632582426071167,0
storasyster - storebror,0.600196242332459,0
systrar - bröder,0.59663462638855,0
dotter - son,0.59624856710434,0
flicka - pojke,0.568031370639801,0
lillasyster - lillebror,0.560056447982788,0
mamma - pappa,0.539414286613464,0
drottning - kung,0.522737741470337,0
farmor - farfar,0.477749615907669,0
döttrar - söner,0.466670334339142,0
kvinna - snubbe,0.466317623853684,0
mormor - morfar,0.463958442211151,0
gudinna - gudinnan,0.431293547153473,?
väninnor - väninna,0.423543393611908,?
flickor - pojkar,0.413297951221466,0
moster - morbror,0.412902981042862,0
bröstcancer - prostatacancer,0.409022629261017,0
kvinnor - män,0.404709577560425,0
dam - herre,0.402564913034439,0
häxa - trollkarl,0.398958474397659,1
lesbisk - homosexuell,0.388263255357742,0
nunna - munk,0.386368691921234,0
damer - herrar,0.38515692949295,0
mor - far,0.371110469102859,0
värdinna - gäst,0.366333723068237,1
prinsessa - prins,0.363836079835892,0
Hon - Han,0.342210650444031,0
faster - farbror,0.337620317935944,0
feminist - muslim,0.331375479698181,?
mödrar - fäder,0.330642163753509,0
jungfru - Jungfru,0.273337960243225,?
brud - bruden,0.252590477466583,?
hemmafru - ensamstående,0.238755211234093,1
fadern - fader,0.236560180783272,?
hår - skägg,0.234350889921188,1
hustru - hustrun,0.231924965977669,?
änka - änkan,0.230065122246742,?
Man - man,0.199714452028275,?
brudar - grabbar,0.198659271001816,0
make - sambo,0.196735367178917,?
älskarinna - fästmö,0.190678745508194,?
sperma - penis,0.178654402494431,?
maka - makar,0.174573540687561,?
fru - herr,0.173041298985481,0
talesperson - talesman,0.169081255793572,0
kompisen - killen,0.161985754966736,?
minister - statsman,0.154646813869476,?
mens - preventivmedel,0.152329623699188,?
affärsmannen - affärsman,0.151494696736336,?
Ann-Christin - Ronnie,0.147350698709488,0
klassen - laget,0.141775339841843,?
män - männen,0.141770914196968,?
hen - mannen,0.141723021864891,?
forskaren - kvinnan,0.140380829572678,?
sporten - fotbollen,0.139957010746002,?
tävlingar - matcher,0.139489650726318,?
deltagare - spelare,0.133554011583328,?
eleven - spelaren,0.133019372820854,?
kompisarna - grabben,0.132320836186409,?
höna - gris,0.130040347576141,?
planeringen - planen,0.12979319691658,?
Annars - ikväll,0.127901688218117,?
syskonen - brorsan,0.127864062786102,?
köksbordet - bänken,0.127207815647125,?
fusk - bedrägeri,0.125139728188515,?
deltagarna - spelarna,0.124718330800533,?
merSnabbfakta - pharmacy.Address,0.123992159962654,?
såklart - igår,0.121407277882099,?
deltagarnas - spelarnas,0.121385991573334,?
tävlingarna - matcherna,0.120914436876774,?
kollegor - lagkamrater,0.11968969553709,?
säger - sade,0.119503065943718,?
