Analogy pair,Score,Note
hon - han,1,0
hennes - hans,0.848712742328644,0
henne - honom,0.78321647644043,0
syster - bror,0.701052844524383,0
systrar - bröder,0.644466996192932,0
storasyster - yngste,0.635302484035492,?
döttrar - söner,0.622716426849365,0
dotter - brorson,0.614607453346252,0
farmor - farfar,0.605265080928803,0
moster - farbror,0.595812141895294,0
mamma - kamrat,0.589138507843018,?
flicka - folkmassa,0.575523912906647,?
mormor - sonson,0.561978280544281,0
lillasyster - broder,0.551291286945343,0
talesperson - talesman,0.546012103557587,0
prinsessa - hjälte,0.540901899337769,1
drottning - konung,0.53289794921875,0
kvinnabarn - arkivbild,0.526285886764526,?
damer - herrar,0.525388360023499,0
mor - köpman,0.524996221065521,1
kvinna - idrottsman,0.517853260040283,?
malin - christoffer,0.509829699993133,0
bröstcancer - hazard,0.506384789943695,?
tjej - gentleman,0.505745351314545,0
systern - brodern,0.500534772872925,0
klitoris - motståndaren,0.49666628241539,?
flickor - spelare,0.495356917381287,?
kvinnor - män,0.495311111211777,0
lesbisk - revolutionär,0.493932604789734,?
fästman - kapten,0.492759883403778,?
kicki - patric,0.491645336151123,0
signe - bernhard,0.490727186203003,0
tjejen - killen,0.490383088588715,0
flickvän - sheriff,0.490111529827118,?
anna - jacob,0.487552136182785,0
jungfru - ärkebiskop,0.487351924180985,1
josefin - lennartsson,0.485656261444092,?
hillevi - erixon,0.484982013702393,0
nadja - assisterande,0.483822703361511,?
väninnor - landsmän,0.48284900188446,?
feminist - socialist,0.479149609804153,?
läckberg - svensken,0.477968692779541,?
pojkvän - tränare,0.477312862873077,?
carina - frick,0.475247859954834,?
svägerska - svåger,0.473553597927094,0
kille - supporter,0.471692740917206,?
tjejerna - supportrar,0.469929456710815,?
brudgum - marsch,0.469834983348846,?
mia - kenny,0.468962013721466,0
pappor - kämpande,0.466562747955322,?
molly - kane,0.466103583574295,0
laila - förre,0.465704083442688,?
kristin - lagkaptenen,0.464797377586365,?
anette - sportchef,0.463271796703339,?
anneli - kassör,0.461510211229324,?
katterna - jagade,0.460134625434876,?
stina - samuel,0.459991335868835,0
bambi - wolves,0.459565937519074,?
dottern - sonen,0.459231078624725,0
maka - statsman,0.458819210529327,1
annika - joakim,0.458664894104004,0
nathalie - huvudtränare,0.457900524139404,?
väninna - medhjälpare,0.457231223583221,?
siri - ivan,0.456966400146484,0
flickvänner - affärsmän,0.456338435411453,?
alicia - lagkapten,0.455952048301697,?
såklart - lirare,0.455851465463638,?
brud - krigare,0.454244792461395,1
husvagnen - lastbil,0.45330286026001,?
sångerskan - värvades,0.453257918357849,?
systrarna - bröderna,0.449326783418655,0
lina - sköld,0.449185907840729,?
rebecca - jonathan,0.44906884431839,0
hemmafru - mekaniker,0.44894951581955,1
jennifer - islanders,0.448118627071381,?
katy - rangers,0.448053002357483,?
isabelle - victor,0.44796484708786,0
snopp - fiende,0.447789549827576,?
nina - ralf,0.44642373919487,0
ylva - avgående,0.444363206624985,?
make - efterträdare,0.444281548261642,?
lillemor - bergstrand,0.441363513469696,?
pojke - soldat,0.440994501113892,?
angelina - everton,0.44084694981575,?
sarah - derek,0.440809935331345,0
mary - buchanan,0.440204828977585,?
frida - anton,0.439605385065079,0
könsroller - motståndare,0.43949967622757,?
oscarsgalan - ligans,0.438872933387756,?
kikki - flames,0.436593651771545,?
therese - aik:s,0.436396241188049,?
cissi - marcus,0.436235666275024,0
linnea - brage,0.435922086238861,?
linda - patrick,0.435370206832886,0
dom - motståndarna,0.435293078422546,?
döttrarna - sönerna,0.434733927249908,0
tittarna - turneringens,0.434032380580902,?
fru - borgmästare,0.433921456336975,1
agnes - cornelius,0.433470368385315,0
linnéa - hv71,0.432995796203613,?
annica - lagledare,0.432443350553513,?
katie - darren,0.431960850954056,0
mammorna - spelarna,0.431628674268723,?
tove - dansken,0.431454062461853,?
hanna - viktor,0.430752843618393,0
kajsa - andreas,0.43064820766449,0
tufft - defensiv,0.430064678192139,?
älskarinna - adelsman,0.430009424686432,1
socialtjänsten - tjänsteman,0.429489880800247,1
melodifestivalen - bundesliga,0.428236961364746,1
irina - aleksandr,0.427912831306457,0
jeanne - alexandre,0.427683174610138,0
carola - sportchefen,0.427565574645996,?
ulrika - johan,0.427294969558716,0
sperma - slav,0.426093459129334,?
sofi - vidar,0.425629317760468,0
malena - dirigent,0.425463676452637,?
margareta - karl,0.424714297056198,0
gudrun - riksdagsman,0.424104541540146,?
tågen - lokomotiv,0.42307460308075,?
kids - mighty,0.422582924365997,?
flyktingarna - trupper,0.422513842582703,?
morsan - tjuv,0.421901404857636,?
koster - sändnings,0.421221166849136,?
mamman - fadern,0.421186357736587,0
dolly - bobby,0.420335978269577,0
lena - franzén,0.420265376567841,?
tanten - yngling,0.420160353183746,?
jelena - dynamo,0.420097529888153,?
patricia - garrett,0.419795244932175,0
kate - ferguson,0.418097108602524,?
rachel - boyd,0.417530000209808,0
häxa - spion,0.416885137557983,1
killarna - lagets,0.416728675365448,?
sötaste - bäste,0.416663944721222,?
mammor - rivaler,0.416642069816589,?
mödrar - anhängare,0.416491091251373,?
zoe - jordan,0.415974736213684,0
nicole - lionel,0.414775431156158,0
faster - abraham,0.41470730304718,?
marie - bertrand,0.414472997188568,0
systerdotter - systerson,0.414427489042282,0
linnet - skjorta,0.414378821849823,1
anita - schwarz,0.413867622613907,?
pojkvännen - anfallaren,0.41363862156868,?
jenny - lundqvist,0.413307458162308,?
brickan - klubban,0.413098454475403,?
daisy - lightning,0.413000553846359,?
barnmorska - kirurg,0.412878096103668,1
skärgården - flotta,0.412800490856171,?
stenmark - målskytt,0.412798523902893,?
