Analogy pair,Score,
hon - han,0.999999940395355,0
Hon - Han,0.941359400749206,0
henne - honom,0.931368410587311,0
hennes - hans,0.907902598381042,0
tjejen - killen,0.776105403900147,0
tjej - kille,0.697536945343018,0
systrarna - bröderna,0.637058198451996,0
syster - bror,0.632582426071167,0
kvinnan - mannen,0.619158089160919,0
dottern - sonen,0.613518595695496,0
flickan - pojken,0.602288484573364,0
storasyster - storebror,0.600196182727814,0
systrar - bröder,0.59663462638855,0
dotter - son,0.59624856710434,0
Hennes - Hans,0.576405763626099,0
flicka - pojke,0.568031311035156,0
tjejerna - grabbarna,0.564963102340698,0
lillasyster - lillebror,0.560056447982788,0
kvinnonamn - mansnamn,0.556952595710754,0
mamma - pappa,0.539414286613464,0
döttrarna - sönerna,0.537608146667481,0
Tjejen - Killen,0.525469899177551,0
tant - gubbe,0.525158166885376,0
drottning - kung,0.522737741470337,0
systern - brodern,0.516638219356537,0
sångerska - sångare,0.511073648929596,0
Anna - Johan,0.495939016342163,0
klänning - skjorta,0.492710292339325,1
sångerskan - sångaren,0.491694778203964,0
Ida - Emil,0.487297296524048,0
tanten - gubben,0.484201192855835,0
farmor - farfar,0.477749645709991,0
Jessica - Ronnie,0.476127475500107,0
Kvinnan - Mannen,0.475201666355133,0
dotterns - sonens,0.469430446624756,0
syrran - brorsan,0.468781709671021,0
döttrar - söner,0.466670393943787,0
kvinna - snubbe,0.466317623853684,0
Sofie - Andreas,0.465722233057022,0
mormor - morfar,0.463958472013474,0
Ingrid - Lennart,0.460130840539932,0
drottningen - kungen,0.460008800029755,0
väninna - farbror,0.459214776754379,0
Dottern - Sonen,0.456190675497055,0
Johanna - Mattias,0.454336524009705,0
Karin - Anders,0.453145027160645,0
Malin - Niclas,0.452826708555222,0
systerdotter - brorson,0.451214253902435,0
Jenny - Jonas,0.45036256313324,0
hertiginna - hertig,0.448862254619598,0
trosor - kalsonger,0.447292149066925,0
tanter - gubbar,0.445868968963623,0
tjejer - grabbar,0.444216191768646,0
