Analogy pair,Score,Note
hon - han,1,0
henne - honom,0.862673878669739,0
hennes - hans,0.848712801933289,0
systern - brodern,0.747637987136841,0
malin - christoffer,0.736012578010559,0
dottern - sonen,0.726733088493347,0
josefin - lennartsson,0.723402380943298,?
anna - jakob,0.717548489570618,0
tjejen - killen,0.707248210906982,0
systrarna - bröderna,0.705654859542847,0
syster - bror,0.701052904129028,0
therese - andreas,0.700846076011658,0
nadja - tränaren,0.69949734210968,?
hillevi - erixon,0.698557257652283,0
storasyster - yngste,0.684549570083618,?
läckberg - svensken,0.684476137161255,?
rebecca - jonathan,0.684014618396759,0
svägerska - svåger,0.683729648590088,0
evelina - marcus,0.682683706283569,0
johanna - johan,0.682343125343323,0
linnea - brage,0.681042194366455,?
systerdotter - systerson,0.67357325553894,0
christina - jacob,0.672269105911255,0
jennifer - kevin,0.667093932628632,0
mia - kenny,0.666778922080994,0
molly - ferguson,0.660727143287659,?
tjejerna - motståndarna,0.658500552177429,?
döttrarna - sönerna,0.657836377620697,0
camilla - frick,0.657639622688293,?
irina - aleksandr,0.657254815101624,0
kristin - markus,0.655039787292481,0
stina - erik,0.651247978210449,0
lena - ulf,0.64991819858551,0
nina - ralf,0.649137258529663,0
anita - allan,0.647327601909637,0
amanda - samuel,0.646355628967285,0
laila - förre,0.645900905132294,?
annika - joakim,0.645143270492554,0
alicia - guidetti,0.644955277442932,0
systrar - bröder,0.644466996192932,0
carina - jörgen,0.641168713569641,0
anneli - sportchef,0.640579700469971,?
signe - bernhard,0.640288710594177,0
katie - darren,0.640045166015625,0
cissi - henke,0.638867020606995,0
lillemor - lindskog,0.637338519096375,?
angelina - lionel,0.636592984199524,0
marit - dansken,0.634725272655487,?
vanessa - derek,0.633407652378082,0
nathalie - victor,0.632969796657562,0
kicki - patric,0.632881999015808,0
feminism - kommunism,0.631644487380981,?
pamela - kane,0.630894064903259,0
oscarsgalan - ligans,0.630814969539642,?
katy - detroit,0.630220413208008,?
ingrid - holger,0.628167510032654,0
agnes - cornelius,0.627828359603882,0
homofobi - motståndare,0.627765655517578,?
amy - mike,0.627345323562622,0
jelena - dynamo,0.626462161540985,?
rumpan - motståndaren,0.625456213951111,?
väninna - kamrat,0.625419497489929,0
agneta - krister,0.624489188194275,0
elisabeth - matthias,0.623867928981781,0
madeleine - nye,0.623372137546539,?
dotter - brorson,0.622908115386963,0
döttrar - söner,0.62271648645401,0
skådespelerskan - legendariske,0.622541904449463,?
sångerskan - sångaren,0.621694326400757,0
frida - pontus,0.620256423950195,0
zoe - jordan,0.619948744773865,0
hello - mighty,0.619748115539551,?
kate - jeremy,0.619025588035584,0
natalie - lagkapten,0.616545021533966,?
linnéa - bergstrand,0.616262018680573,?
svärmor - svärfar,0.615120947360992,0
sara - peter,0.615057229995728,0
tove - norrmannen,0.615040481090546,?
katarina - henrik,0.614861309528351,0
ylva - sören,0.610406279563904,0
heather - dale,0.609676480293274,0
linda - dennis,0.609055399894714,0
marie - martin,0.608090162277222,0
prinsessan - kapten,0.60808926820755,?
christine - robert,0.606629908084869,0
sofi - franzén,0.605507016181946,?
farmor - farfar,0.605265140533447,0
avslappnat - taktiskt,0.605240225791931,?
josefine - sportchefen,0.604691207408905,?
lily - stanley,0.603897213935852,0
rachel - boyd,0.603121280670166,0
audrey - charlton,0.60278195142746,0
forever - wolves,0.602469325065613,?
”hon - ”han,0.601852893829346,0
erika - svedberg,0.600513935089111,?
sarah - ian,0.599777340888977,0
marianne - steen,0.59960412979126,?
hertiginna - hertig,0.598690629005432,0
sophie - adam,0.598329424858093,0
daniela - jürgen,0.598015904426575,0
alexandra - alexander,0.596672058105469,0
kaxig - defensiv,0.596400618553162,?
sötaste - bäste,0.596307814121246,?
pernilla - pär,0.596296906471252,0
siri - ivan,0.595964670181274,0
emily - john,0.595925092697144,0
moster - farbror,0.595812201499939,0
karin - anders,0.595707893371582,0
julie - richard,0.594236612319946,0
fanny - isaac,0.593642830848694,0
mamma - äldste,0.592682242393494,?
amningen - anfallen,0.591713488101959,?
jenny - lundqvist,0.590879440307617,?
jessica - patrick,0.589679479598999,0
jasmine - emperor,0.589572370052338,?
ulrika - fredric,0.589315831661224,0
hbtq-personer - supportrar,0.588644623756409,?
författarinnan - historikern,0.588381111621857,1
gunnel - åke,0.588097393512726,0
barbie - fighter,0.587385654449463,1
lillasyster - broder,0.585938334465027,0
louise - thomas,0.585906028747559,0
anne - sir,0.584252893924713,?
lilian - daniel,0.583836317062378,0
heterosexuella - underordnade,0.583795666694641,?
sångerska - gitarrist,0.583754420280457,1
birgit - gerhard,0.583738327026367,0
bella - aston,0.583586096763611,0
carola - hamrén,0.583475470542908,?
jenner - brock,0.582511246204376,0
åsa - stefan,0.581413984298706,0
hanna - viktor,0.581230759620667,0
kajsa - jesper,0.581092357635498,0
gabriella - vidar,0.581003546714783,0
susanne - mikael,0.580863416194916,0
gunilla - lars,0.580762505531311,0
killarna - defensiva,0.579768180847168,?
matilda - emanuel,0.578469276428223,0
elise - rosenberg,0.578329503536224,0
mamman - vakta,0.57805335521698,?
flickvännen - anfallaren,0.576653122901917,?
barnkläder - begagnade,0.576488733291626,?
anette - patrik,0.576441764831543,0
frisyr - spelstil,0.576356768608093,?
josephine - herbert,0.576169967651367,0
pojkvännen - mourinho,0.575910806655884,?
magda - julius,0.575542628765106,0
anja - lagkaptenen,0.575215041637421,?
martina - sebastian,0.575112581253052,0
nicole - joe,0.574983954429626,0
sommarlov - försäsongen,0.574563920497894,?
